,Title,Company,Location,Description,URLs
0,Data Analyst I,Computershare,None,"Interacts with prior servicers and investors regarding SLS transfer requirements, data discrepancies, missing data, files/images and timelines for servicing...",http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C6MWAx06RHPhT8Lk1LTJ4ojNgANd7X1UDwc5g6nuQ2rw7oovaQZJZLK7eG3ROxnqn9bgCpOhtgBtTDoJ7y67KaSNIVZHJEOJ_Uf479MpgMFfoEa91WmsLLsJIqooI4NRjQWChn-gBU2gsF3ONJDRvVFSX5SGEAa3x4kZYI5aeTQDoVpwFeu7ykS4splS3wvJ6GYOGBu64U7xj0jk3WptFg1vkBafeztul6qJNnnKk1c19fCaKkYlaetARJOdTY9JZ6fVyigwKS1eUz25rlqU9Ih2IldCHGtlmZp73NilC4xpOI4iaHxLD-9tFmxNEwGU95meVmFztKQ62ADYkqDzxcYp-ZgyDV3mcI3fA_ZYcmC6HC0BZ2UOWg1EE7zBa4y82CCyekVsGlOUXIyPf02bQkUlxDkpht0sxk3NNNLYiOwGxQ7VlIKnYqIZOJ2dEPSDcUO6uRqeOXMEWHVbE6n2DhhFe68lqw49WmxPzFoHrCqZr1Lqoshwf3w0Gt9a60vJc=&vjs=3&p=1&sk=&fvj=0
1,Data Analyst,"AAS Services, LLC",None,"The Data Analyst will help manage large datasets using Excel, assist with data integrity, create both standardized and custom reports to support the Financial...",http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DcC4OtZSXeE-VUs2w2ViayACLeT_05LZi5Sobw2uMnpLkG6zTGvol_vk9emwcUeKJUfsI-6I8mJIgPhcMW7jGnp8PKCC75GzEBgf4uCBYSBSOXHHlIeCqhbctiZFwbgZwotD1biCgAhg6I_BzuhPraNGVfUCTJERwjatqrkfR5rI2KklHoDMG9NZzlBA49GHkgCOAcFeKN9PeVGKjp4cHcSyzkTQgMV4s3vYAcfpdQjc30w3iHwrCXU313oZP336y7_3IN5O7APevSZgrKlaaKcCGOi9LwiKq1WsP7PPzhQ302oKUBI_Zl9FS6jyTmP80kkn2cZqN9o6xE8hQC52VYM-87PHDciBC_kgUwCvOrgW_aJS5cBKV4adP0q-rj3Lil4vpN3mhFnnTC73P5zfZouLOR9dDfAnOvT0yMMhdIYg==&vjs=3&p=2&sk=&fvj=1
2,Digital Media Analyst -- Recruitment Advertising Agency,KRT Marketing,None,"They love using data to uncover secrets and trends. Ability to evaluate data, identify trends and effectively summarize information....",http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C6nKFHSiMBxFBp_E9a0ZdPCM_qsZkYnNiPA1S70PNI9T3HEWqjoUFh1lgQrkJNukQvOy53LUkMJFmvrJIieWjhcSMNKDTfQSD03cEbqpSAp-r_atpkTZwt9fKAD1LC9z2lWY0-Wc3QYD-x69gcS3lrc_3PwomQefdCIvrqK5zNg6qzEz019C404mXtpeZg2nnt8RXiuQn944wyme6fxh-mDKIQokOT2-uZ_88FwAypg3NWp2EeoqbH-SGyKrBozGvds1_WaYgGPwVc6uL73pj1LmaC733nrkwDY00ql-MqD6xJIRV2M8CdUOaSpjoSNZ1SHXJujfJ-uhqMNaBcHufFKJ7ESbgpsBzqMY2MqqUt8sOSj23X4kGbE4Yg2-U-FvpIS5TuW3kZBkLlBMbWGZSvgVeXuOggEtkif_UQoe597-Iv2e65LJZx3leq9qSvY2XYXnDxJN7oxkR0noBySZ4T8NjvCGybI3gO0aGbIVR9etVzPuwFFfhmd7uv8gB053Y=&vjs=3&p=3&sk=&fvj=0
3,Data Analyst,System One,None,"Data Analyst Responsibilities:. System One is currently seeking a Data Analyst on a 12 month contract position located in Denver, CO....",http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXtvPDqDev6liskt-h_3vAUEMM26GmMOlWYCAn-kvNiUi5G7u_kl83ij3MBc9xpSS5slRBFCS90zSBZBT4QELOqqbUXS8KnvaJp-GnVbOOIyOMHmDNgBv1n7W7CEs9DFJLQjSZWJfUYZQqWdB0HRvQEWznkgtl-nng4jitN-AH8Goty9Aul6yH3N8gBqpSzmauz5JwwgpcAOtcvDwx-5I4s_0uZJZLI7NGaRr1ExLsXMsXYTemOvV60QYilnXBZE10zVBlaw6OOaBwR24rFhQrvi83yDiKc9DcuYXb3TqdDxwNHoGzaUZPgvMNfK6wRXywlnCdJUC5Vl7-NdHiLmaX1Itk3sw-J3fdwr3a3vS_POpAPdw05apKzFsiMHVntGZjT1vQF0FVmoUFl16dVLc7JNxe6GPuGzUZZj2WA6pEACDGgQhiyUjAnsf_W9Q80x3s_SFt6O5LUM-f3tdq07mt-igfuMUa7oL8rAOzFWiOF7QfuXg-4jimWEUIdRIUI6m5RUfMTivuZGrKFWI2Jv_s&vjs=3&p=4&sk=&fvj=0
4,Data Analyst,DaVita Medical Group,"Denver, CO 80202 (Lodo area)","Over 5 years of specific experience within the healthcare industry. Responsible for collection, analysis and maintenance of data focused on the department's...",http://www.indeed.com/rc/clk?jk=07ec58ba9cfc0c32&fccid=1a24bb600f1a5aa1&vjs=3
5,Data Reporting Analyst Assocciate,Children's Hospital Colorado,"Aurora, CO","Gathers functional and technical requirements to design, build, test, deliver and manage data repositories, reporting, ETL, data warehouse, registry or data...",http://www.indeed.com/rc/clk?jk=3032f5e9fc0ac4df&fccid=098552e8f8353e68&vjs=3
6,Data Analyst,Concept Technology,"Denver, CO","Our rapidly growing staffing company is actively looking for candidates who are skilled in Quality Analyst,Business Analyst,Data Analyst ,System Analyst &Java...",http://www.indeed.com/company/Concept-Technology/jobs/Data-Analyst-b5e435010bcdbaa7?fccid=f67f16d4706e99a4&vjs=3
7,Associate Data Analyst,healthgrades,"Denver, CO 80202 (Lodo area)","Identify issues related to data, data sources, and data processing. Healthgrades is seeking a Data Analyst to join our Data Science team in downtown Denver....",http://www.indeed.com/rc/clk?jk=86378693ffd7eecd&fccid=4eb946b850ff5481&vjs=3
8,Data Reporting Analyst Professional,Children's Hospital Colorado,"Aurora, CO","Creates data products, data visualizations and presentations. Identifies data sources needed to produce required data sets or reports....",http://www.indeed.com/rc/clk?jk=58846f0756f508a5&fccid=098552e8f8353e68&vjs=3
9,"Business Analyst - Denver, CO",Anheuser-Busch,"Denver, CO",A Business Analyst supports Field Sales and other Sales functions with fact based data to make informed decisions and recommendations....,http://www.indeed.com/rc/clk?jk=2218d75cc3812d40&fccid=84c67dd9d990e840&vjs=3
